Sirkulasjonssystemet
Aorta           Hovedpulsåren
Atrium              Hjertets forkammer
Ventrikkel              Hjertes hovedkammer
Cervix                  Hals
Vena cava Inferior               Nedre hulvene
Vena cava Superior              Øvre hulvene
Perikard                    Hjerteposen
Cor                 Hjertet
Septum              Skillevegg
Truncus pulmonalis              Lungearterien
Anulus fibrosus             Fibret bindevev
Pharynx                 Svelget
Apex cordis             Hjertespissen
chordae tendineae               Sterke bindevevstråder i hjerte
Epicard             Ytterste cellelag av hjertet
Respirasjonssystemet
Diaphragma              Mellomgulvet
broncus                 Luftrørsgren
Alveolus                Lungeblæren
Pleura              Brysthinnen
Epiglogttis             Strupelokket
Larynx              Strupehodet
Trachea                 Luftrøret
Nervesystemet
Cerebellum              Lillehjernen
Cerebrum                Storhjernen
Medulla spinalis            Ryggmargen
Cortex Cerebri              Storhjernebarken
Mesencephalon               Midthjernen
Diencephalon                Mellomhjernen
Medulla oblongata               Den forlengede marg
pons                    Bro(Hjernebro)
Arachnoidea                 Spindelvevshinnen
Dura mater          Den harde mor
Pia mater           Den muke mor
Fordøyelsessystemet
Duodenum            Tolvfingertarmen
Colon Sigmoideum              S-formede delen av tykktarmne
Colon transversum           Den tverrgående tykktarm
Colon ascendens             Den oppadstigende tykktarm 
Colon descendens            Den nedadgående tykktarm
Jejunum                 Tynntarmens midtsegment
Ileum               Nedre del av tynntarmen 
Rectum              Endetarmen
Pancreas                Bukspyttkjertelen
colon                   tykktarm
Mucosa              Slimhinne
Peritoneum              Bukhinnen
abdomen             Buken
Vena portae             Portvenen
Hepar               Leveren
Arteria Hepatica            Leverarterien
Ventriculus             Magesekken
Lumun           Hulrom i tarmen
Oesophagus                  Spiserør
Skjelletet
Costa           Ribbeina
Thorax              Brystkassen
Cranium             Hodeskallen
Sternum             Brystbeinet
Femur               Lårbeinet
Os tibia                Skinnbeinet
Os fibula                  leggbeinet
Patella             Kneskål
Brachium                    Overarm/arm
Os cuboideum                Terningbenet
Pollex                  Tommel
Os scaphoideum              Båtbeinet
Os clavicula                Kragebeinet
Os scapula                  Skulderbladet
Os lunatum              Månebeinet
Prosessus xiphoideus                Spissen på brystbenet
Humerus                 Overarmsbeinet
Calcaneus               Hælbeinet
Os coxae            Hoftebeinet
os Sacrum           Korsbeinet
Musklene
Musculus rectus abdominis               Six Pack
Musculus trapezius              Kappemuskelen
Musculus pectoralis major               Brystmuskelen
Mentum inguinale                Lyskebåndet
Canalis inguinale               Lyskekanalen
Musculus deltoideum             Deltamuskelen
Musculus latissimus dorsi           Den brede ryggmuskelen
Musculus serratus Anterior              fremre sagmuskel
Lingua              Tunge
Plan og posisjoner
Dexter              Høyre
Sinister            Venstre
Externus/externa            Ytterst
Internus/interna            Innerst
Abduksjon               Føre vekk ifra
Ventralt                Den bakre del av frontalplanet
Dorsalt                 Den framre del av frontalplanet
Coronalt                Scrolle i frontalplanet
Sagitalt                Scrolle i medialplanet
Aksialt                 scrolle i transversalplanet
Distalt                 Lengst unna
Proksimalt              Nærmest
Inferior                Den nedre
Superior                Den øvre
Anterior            Den fremre
Posterior           Den bakre
Lateralt            Lengst unna medialplanet
Medialt             Nærmest medialplanet
Annet
Antrum            Hule
Apertura            åpning
Apex                Spiss
Arcus               Bue
Truncus             Hoveddel
Torso               Kroppen uten hode
